objectid,parentid,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,longitude,latitude
"225",,Gregory Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.54638889,42.4575
"226",,Griswold Cemetery,,,,cemetery,German,,,,,,,,record,,,,-75.83694444,42.48
"227",,Grove Park Cemetery,,,,cemetery,North Norwich,,,,,,,,record,,,,-75.53,42.56111111
"228",,Guilford Center Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.46527778,42.40833333
"229",,Guy/Reed Cemetery,,,,cemetery,Afton,,,,,,,,record,,,,-75.57333333,42.21305556
"230",,Hackett Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.62777778,42.41527778
"231",,Hall Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.60166667,42.5125
"232",,Hamilton Farm Plot,,,,cemetery,Guilford,,,,,,,,record,,,,,
"233",,Harris Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,,
"235",,Harvey Cemetery,,,,cemetery,Pitcher,,,,,,,,record,,,,-75.82333333,42.54638889
"237",,Hendrick Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,,
"238",,Hinman Cemetery,,,,cemetery,Pitcher,,,,,,,,record,,,,-75.8488736114669,42.5876561805606
"240",,Horton Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.8025,42.37138889
"241",,Houghton Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.78694444,42.29527778
"242",,Howard Cemetery,,,,cemetery,Sherburne,,,,,,,,record,,,,-75.42944444,42.72722222
"243",,Huntley Cemetery,,,,cemetery,Columbus,,,,,,,,record,,,,-75.37472222,42.73388889
"244",,Indian Cemetery,,,,cemetery,German,,,,,,,,record,,,,-75.84416667,42.49361111
"246",,Jaquin Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.4725,42.33388889
"247",,John D. Lewis Cemetery,,,,cemetery,Preston,,,,,,,,record,,,,-75.63888889,42.53027778
"248",,Jennison Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.48666667,42.48722222
"249",,Kendricks Cemetery,,,,cemetery,Sherburne,,,,,,,,record,,,,-75.44305556,42.66666667
"250",,Kenyon Cemetery,,,,cemetery,Pitcher,,,,,,,,record,,,,-75.82555556,42.56083333
"252",,Kirby Cemetery,,,,cemetery,Bainbridge,,,,,,,,record,,,,-75.48611111,42.26111111
"254",,Lamphere Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.54138889,42.41861111
"255",,Lane Cemetery,,,,cemetery,Lincklaen,,,,,,,,record,,,,-75.8692044052482,42.6627476106566
"256",,Latham Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,,
"260",,Lloyd Cemetery,,,,cemetery,Columbus,,,,,,,,record,,,,-75.31722222,42.70861111
"262",,Lord Burial Ground,,,,cemetery,Pitcher,,,,,,,,record,,,,-75.8125,42.56805556
"263",,Lord Burial Plot,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.79055556,42.57555556
"265",,Lower Phelps Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.37361111,42.54027778
"266",,Lower Smithville Flats Cemetery,,,,cemetery,Smithville,,,,,,,,record,,,,-75.80777778,42.38888889
"268",,Maplewood Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.38083333,42.41472222
"269",,McNitt Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.51416667,42.49777778
"270",,Mead Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.60416667,42.39416667
"271",,Medbury Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.40277778,42.60861111
"272",,Medbury-Arnold Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.63222222,42.62777778
"274",,Merrick Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.56388889,42.37361111
"276",,Miller Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.6225,42.39083333
"278",,Mollie Burial Plot,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.75194444,42.56
"279",,Monroe Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.68305556,42.56722222
"281",,Moore Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.57361111,42.40861111
"282",,Morgan Cemetery,,,,cemetery,Guilford,,,,,,,,record,,,,-75.405,42.39055556
