title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,reference_url
"Gale Cemetery","","","","cemetery","McDonough","42.51944444","-75.69611111","","","","","","","","/item.html?id=215"
"Gale Farm Plot","","","","cemetery","McDonough","","","","","","","","","","/item.html?id=216"
"Gates Cemetery","","","","cemetery","Norwich","42.48222222","-75.54638889","","","","","","","","/item.html?id=217"
"Giles Cemetery","","","","cemetery","Norwich","42.47277778","-75.54361111","","","","","","","","/item.html?id=219"
"Godfrey Corners Cemetery","","","","cemetery","Guilford","42.42333333","-75.44083333","","","","","","","","/item.html?id=221"
"Green Lawn Cemetery","","","","cemetery","Bainbridge","42.29861111","-75.485","","","","","","","","/item.html?id=223"
"Greenwood Cemetery","","","","cemetery","New Berlin","42.62972222","-75.33083333","","","","","","","","/item.html?id=224"
"Gregory Cemetery","","","","cemetery","Oxford","42.4575","-75.54638889","","","","","","","","/item.html?id=225"
"Griswold Cemetery","","","","cemetery","German","42.48","-75.83694444","","","","","","","","/item.html?id=226"
"Grove Park Cemetery","","","","cemetery","North Norwich","42.56111111","-75.53","","","","","","","","/item.html?id=227"
"Guilford Center Cemetery","","","","cemetery","Guilford","42.40833333","-75.46527778","","","","","","","","/item.html?id=228"
"Guy/Reed Cemetery","","","","cemetery","Afton","42.21305556","-75.57333333","","","","","","","","/item.html?id=229"
"Hackett Cemetery","","","","cemetery","Oxford","42.41527778","-75.62777778","","","","","","","","/item.html?id=230"
"Hall Cemetery","","","","cemetery","Preston","42.5125","-75.60166667","","","","","","","","/item.html?id=231"
"Hamilton Farm Plot","","","","cemetery","Guilford","","","","","","","","","","/item.html?id=232"
"Harris Cemetery","","","","cemetery","Guilford","","","","","","","","","","/item.html?id=233"
"Harvey Cemetery","","","","cemetery","Pitcher","42.54638889","-75.82333333","","","","","","","","/item.html?id=235"
"Hendrick Cemetery","","","","cemetery","Guilford","","","","","","","","","","/item.html?id=237"
"Hinman Cemetery","","","","cemetery","Pitcher","42.5876561805606","-75.8488736114669","","","","","","","","/item.html?id=238"
"Horton Cemetery","","","","cemetery","Greene","42.37138889","-75.8025","","","","","","","","/item.html?id=240"
"Houghton Cemetery","","","","cemetery","Greene","42.29527778","-75.78694444","","","","","","","","/item.html?id=241"
"Howard Cemetery","","","","cemetery","Sherburne","42.72722222","-75.42944444","","","","","","","","/item.html?id=242"
"Huntley Cemetery","","","","cemetery","Columbus","42.73388889","-75.37472222","","","","","","","","/item.html?id=243"
"Indian Cemetery","","","","cemetery","German","42.49361111","-75.84416667","","","","","","","","/item.html?id=244"
"Jaquin Cemetery","","","","cemetery","Guilford","42.33388889","-75.4725","","","","","","","","/item.html?id=246"
"John D. Lewis Cemetery","","","","cemetery","Preston","42.53027778","-75.63888889","","","","","","","","/item.html?id=247"
"Jennison Cemetery","","","","cemetery","Norwich","42.48722222","-75.48666667","","","","","","","","/item.html?id=248"
"Kendricks Cemetery","","","","cemetery","Sherburne","42.66666667","-75.44305556","","","","","","","","/item.html?id=249"
"Kenyon Cemetery","","","","cemetery","Pitcher","42.56083333","-75.82555556","","","","","","","","/item.html?id=250"
"Kirby Cemetery","","","","cemetery","Bainbridge","42.26111111","-75.48611111","","","","","","","","/item.html?id=252"
"Lamphere Cemetery","","","","cemetery","Oxford","42.41861111","-75.54138889","","","","","","","","/item.html?id=254"
"Lane Cemetery","","","","cemetery","Lincklaen","42.6627476106566","-75.8692044052482","","","","","","","","/item.html?id=255"
"Latham Cemetery","","","","cemetery","Guilford","","","","","","","","","","/item.html?id=256"
"Lloyd Cemetery","","","","cemetery","Columbus","42.70861111","-75.31722222","","","","","","","","/item.html?id=260"
"Lord Burial Ground","","","","cemetery","Pitcher","42.56805556","-75.8125","","","","","","","","/item.html?id=262"
"Lord Burial Plot","","","","cemetery","Pharsalia","42.57555556","-75.79055556","","","","","","","","/item.html?id=263"
"Lower Phelps Cemetery","","","","cemetery","New Berlin","42.54027778","-75.37361111","","","","","","","","/item.html?id=265"
"Lower Smithville Flats Cemetery","","","","cemetery","Smithville","42.38888889","-75.80777778","","","","","","","","/item.html?id=266"
"Maplewood Cemetery","","","","cemetery","Guilford","42.41472222","-75.38083333","","","","","","","","/item.html?id=268"
"McNitt Cemetery","","","","cemetery","Norwich","42.49777778","-75.51416667","","","","","","","","/item.html?id=269"
"Mead Cemetery","","","","cemetery","Oxford","42.39416667","-75.60416667","","","","","","","","/item.html?id=270"
"Medbury Cemetery","","","","cemetery","New Berlin","42.60861111","-75.40277778","","","","","","","","/item.html?id=271"
"Medbury-Arnold Cemetery","","","","cemetery","New Berlin","42.62777778","-75.63222222","","","","","","","","/item.html?id=272"
"Merrick Cemetery","","","","cemetery","Oxford","42.37361111","-75.56388889","","","","","","","","/item.html?id=274"
"Miller Cemetery","","","","cemetery","Oxford","42.39083333","-75.6225","","","","","","","","/item.html?id=276"
"Mollie Burial Plot","","","","cemetery","Pharsalia","42.56","-75.75194444","","","","","","","","/item.html?id=278"
"Monroe Cemetery","","","","cemetery","Pharsalia","42.56722222","-75.68305556","","","","","","","","/item.html?id=279"
"Moore Cemetery","","","","cemetery","Oxford","42.40861111","-75.57361111","","","","","","","","/item.html?id=281"
"Morgan Cemetery","","","","cemetery","Guilford","42.39055556","-75.405","","","","","","","","/item.html?id=282"
"Mount Hope Cemetery","","","","cemetery","Norwich","42.51777778","-75.52527778","","","","","","","","/item.html?id=284"
"Nash Cemetery","","","","cemetery","German","42.49472222","-75.80444444","","","","","","","","/item.html?id=285"
